number,name_anglicized,name_latin,title,region_anglicized,region_latin,fief_area,fief_latin,knights,knights_shared,villanos,commendatarios,held_from,held_from_latin,augmentum_knights,augmentum_knights_shared,augmentum_sergeant,augmentum_sergeant_shared,augmentum_crossbow,augmentum_crossbow_shared,augmentum_infantry,augmentum_infantry_shared,location
351,Wife of Potofranculus and Wife of Potefranco,Uxor [Roberti] Potifranculi (cor. Potifranci) et [Uxor] Guillelmi Pontifranci (cor. Potifranci),,Benevento,Terra Beneventana,Ginestra degli Schiavoni,Genestram,1,,,,Gerard de Greci,Gerardus de Grecia,,,,,,,,,
352,"Godfrey, son of Paganus of Montefusco",Godffridus filius Pagani Montifusculi,,Benevento,Terra Beneventana,Bosco Monterone,Monteronem,1,,,,Roger of Buonalbergo,Rogerius Bonialbergi,6,0,0,0,,,,,
352,"Godfrey, son of Paganus of Montefusco",Godffridus filius Pagani Montifusculi,,Benevento,Terra Beneventana,Campolattaro,Campugattarum,1,,,,Roger of Buonalbergo,Rogerius Bonialbergi,,,,,,,,,
352,"Godfrey, son of Paganus of Montefusco",Godffridus filius Pagani Montifusculi,,Benevento,Terra Beneventana,Santa Croce,Sanctum Crucem,1,,,,Roger of Buonalbergo,Rogerius Bonialbergi,,,,,,,,,
353,Robert of Monte Malo,Robbertus de Monte Malo,,Benevento,Terra Beneventana,S. Giorgio La Molara,Sanctum Georgium,3,,,,Roger of Buonalbergo,Rogerius Bonialbergi,8,10,0,0,,,,,
353,Robert of Monte Malo,Robbertus de Monte Malo,,Benevento,Terra Beneventana,Guasto,Guastum,1,,,,Roger of Buonalbergo,Rogerius Bonialbergi,,,,,,,,,
354,Robert of Molinara,Robbertus de Molinara,,Benevento,Terra Beneventana,Molinara,Molinaram,2,,,,Roger of Buonalbergo,Rogerius Bonialbergi,4,10,0,0,,,,,
355,Bartholomew of Monteforte,Bartholomeus de Monteforti,,Benevento,Terra Beneventana,Fragneto,Farnitum,1,,,,William of San Fraymundo,Guillelmus Sancti Fraymundi,2,0,0,0,,,,,
355,William of San Fraymundo,Guillelmus Sancti Fraymundi,,Benevento,Terra Beneventana,Fragneto,Farnitum,1,,,,Roger of Buonalbergo,Rogerius Bonialbergi,,,,,,,,,
356,Hugh son of Rainald son of William,Hugo filius Raynaldi filii Guillelmi,,Benevento,Terra Beneventana,Sant' Eleuterio (Casale S. Eolotherii),Sanctum Lauteramum,3,,,,Roger of Buonalbergo,Rogerius Bonialbergi,12,80,0,0,,,,,
356,Hugh son of Rainald son of William,Hugo filius Raynaldi filii Guillelmi,,Benevento,Terra Beneventana,Castelpagano,Castellum Paganum,2,,,,Roger of Buonalbergo,Rogerius Bonialbergi,,,,,,,,,
357,Raul of Devia,Raul de Devia,,Loritello,Loritelli,Devia,Deviam,2,,,,Count Phillip,Phillipus  comes de Civitate,4,0,0,0,,,,,
358,Raul of Devia,Raul de Devia,,Campobasso,Campobasso,State land in Loritello (Rotello),demanio de Comitatu Loritelli,5,,,,Count Phillip,Phillipus  comes de Civitate,17,40,0,0,,,,,
359,Raho de Montorio,Raho de Montorio,,Campobasso,Campobasso,Montorio de Frentani,Montorio,2,,,,,,4,6,,,,,,,
360,Almeric  Martellus,Almericus (Aymericus) Martellus,,Loritello,Loritelli,Porticchio,Particulo [cor. Porticulo],1,,,,,,2,0,0,0,,,,,
361,Robert Malvicinus,Robbertus Malvicinus,,Loritello,Loritelli,Rossolum,Russola [Casale di Rosso],1,,,,,,2,0,0,0,,,,,
362,William of Scalfo,"Guillelmus de Scalfo (Scalvo, Scalfonus, Scalfus",,Campobasso,Campobasso,Madonna di Bisaccia,Bisacciam,3,,,,KIng,domino Rege,,,,,,,,,
362,William of Scalfo,"Guillelmus de Scalfo (Scalvo, Scalfonus, Scalfus",,Campobasso,Campobasso,Montecilfone Monte Cilfone,Montem Golfum,1,,,,King,domino Rege,,,,,,,,,
362,William of Scalfo,"Guillelmus de Scalfo (Scalvo, Scalfonus, Scalfus",,,,Sarraman [corr. from Larritan] Serramano,Larritanum [corr. Sarramanum],1,,,,,,10,30,0,0,,,,,
362,William of Scalfo,"Guillelmus de Scalfo (Scalvo, Scalfonus, Scalfus",,Campobasso,Campobasso,Guglionesi,Grulmam [cor. Guilan or Guilien],1,,,,,,,,,,,,,,
362,William of Scalfo,"Guillelmus de Scalfo (Scalvo, Scalfonus, Scalfus",,,,Colle di Pietra Fracida,Petram Fracdam,1,,,,,,,,,,,,,,
362,William of Scalfo,"Guillelmus de Scalfo (Scalvo, Scalfonus, Scalfus",,,,Pantanella,Pantanellam,1,,,,,,6,0,0,0,,,,,
363,William of Scalfo,Guillelmus de Scalvo,,,,Torre Montebello,Montem Bellum,1/2,,,,King,domino Rege,1,0,0,0,,,,,
363,William of Scalfo,Guillelmus de Scalvo,,Campobasso,Campobasso,"Casale Portellanno, Portella",Portellam,1,,,,King,domino Rege,2,0,0,0,,,,,
364,Richard of Granara,Riccardus de Granara [corr. Granada],,Foggia,,Vieste,Bestia,1,,,,,,,,,,,,,,
365,Benjamin,Benyamin,,Loritello,Loritelli,Sanctus Petrus Veteranus,Sancto Petro Veterano,1,,,,King,domino Rege,1,0,0,0,,,,,
366,Mathew of Saint Peter,Matheus Sancti Petri,,Loritello,Loritelli,Sanctus Petrus Veteranus,Sancto Petro Veterano,1,,,,King,domino Rege,1,0,0,0,,,,,
367,Nicolas son of Ector,Nicolaus filius Ectoris,,,,Visciglieto,Bisseletum,3,,,,King,domino Rege,8,0,0,0,,,,,
367,Nicolas son of Ector,Nicolaus filius Ectoris,,Foggia,Foggia,Saint Jacob and Torre Fiorentino,Sancto Jacobo and Florentino,1,,,,,,,0,0,0,,,,,
368,Gualdinus Malacorona,Gualdinus Malacorona,,,,Casalnuovo (repr. Il Casone),Casalinovo,1,,,,,,,2,0,0,,,,,
368,Gualdinus Malacorona,Gualdinus Malacorona,,,,Aventitiis,Aventitiis,1/2,,,,,,,,0,0,,,,,
369,Aliduca Marrune,Aliduca Marrune (corr. Marran),,,,La Marana,Morcona (corr. Marrana),1,,,,,,,2,0,0,,,,,
370,Curia,Curia,,,,Candelaro,Candelarium,2,,,,,,4,10,0,0,,,,,
371,Philip of Lacupensili,Philippus de Lacupensili,,,,[Name of fief omitted (2)],,2,,,,,,4,0,0,0,,,,,
372,Daughter of Godfrey of Bestia,Filia Goffridi de Bestia,,,,[Name of fief omitted (2)],,1,,,,,,2,0,0,0,,,,,
373,Wife of Ursellus,Uxor Urselli,,Foggia,Foggia,Vena Maggiore,Vena Maiori,2,,,,,,4,0,0,0,,,,,
374,Richard son of William,Riccardus filius Guillelmi,,,,[Name of fief omitted (2)],,1,,,,,,2,0,0,0,,,,,
375,Wife of Russi of Ymbriata,Uxor Russi de Ymbriata,,,,[Name of fief omitted (2)],,1,,,,,,2,0,0,0,,,,,
376,Benedictine Order (?),,,Foggia,Foggia,S. Giovani in Lamis,Terra Sancti Johannis in Lama,4,,,,,,8,100,0,0,,,,,
377,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Peschichi,Pesckiczo,5,,,,,,20,100,0,0,,,,,
377,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Vico del Gargano,Biccaro [corr. Bico. (2)],2,,,,,,,,0,0,,,,,
377,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Carpino [Caprino (2)],Caprile,3,,,,,,,,0,0,,,,,
377,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,,,Torre Varano [Foce di Varano],Barano,2,,,,,,,,0,0,,,,,
377,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Monte sant'Angelo,Monte,1,,,,,,,,0,0,,,,,
377,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Siponto,Syponto,2,,,,,,,,0,0,,,,,
378,Berardus son of Orrisius,Berardus filius Orrisii,,Campobasso,Campobasso,Rotello,Lorotelum,2,,,,King,domino Rege,6,10,0,0,,,,,
379,Berardus son of Orrisius,Berardus filius Orrisii,,Campobasso,Campobasso,"Ilice, Ielc, Lilice",Licii,1,,,,King,domino Rege,,,0,0,,,,,
380,,,,,,,,,,,,,,,,,,,,,,
381,Hugo (Hugh?) Bursellus,Hugo Bursellus,,Benevento,Terra Beneventana,Pontelandolfo,Guillelmo Pontem Landullfum,2,,,,,,4,,,,,,,,
382,William of San Fraymundo,Guillelmi Sancta Fraymundi,,,,,,,,,,,,6,0,0,0,,,,,
382,William of San Fraymundo,Guillelmi Sancta Fraymundi,,,,,,47,,,,,,53,0,0,0,,,,,
382,William of San Fraymundo,Guillelmi Sancta Fraymundi,,,,,,,,,,,,100,82,2,0,,,,,
383,Godfrey of Lesina,Goffridus Alesine,Count,Foggia,Foggia,Bantiam,Bantiam,4,,,,King,domino Rege,8,0,0,0,,,,,
384,Marsilius,Marsilius,,Foggia,Foggia,Chieuti,Pleuctum,2,,,,Godfrey of Lesina,Goffridus Alesine,4,0,0,0,,,,,
385,Matthew de Gaundalino,Matheus de Guandalino,,Campobasso,Campobasso,S. Maria di Loreto,Loritum,4,,,,Godfrey of Lesina,Goffridus Alesine,8,0,0,0,,,,,
385,Matthew de Gaundalino,Matheus de Guandalino,,Benevento,Terra Beneventana,Difesa Monte Calvo,Montem Calvum,,,,,Godfrey of Lesina,Goffridus Alesine,,,,,,,,,
386,Bishop of Civitate for San Leucio,Episcopus Civitatis pro Sancto Leucio,Bishop,Foggia,Foggia,San Leucio,Sancto Leucio,1.5,,,,King,domino Rege,3,15,0,0,,,,,
387,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Lesina,Alexina,8,,,,,,17,100,0,0,,,,,
387,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Apricena,Percina [corr. Precina],4,,,,,,,,,,,,,,
387,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,Foggia,Foggia,Ripalta,Ripaltum [corr. Ripaltam],2,,,,,,,,,,,,,,
387,Godfrey of Lesina,Goffridus [Gosfridus] Alesine,Count,,,San Trifone,Casale Sancti Trifonis,1,,,,,,2,0,0,0,,,,,
388,Wife of William of Crevonzone,Uxor Guillelmi de Cerevonzone [Gradunzone],,Foggia,Foggia,Sannicandro Gargancio/ San Nicandro,Sanctum Nicandrum,2,,,,Godfrey of Lesina ,Goffridus [Gosfridus] Alesine,6,10,0,0,,,,,
388,Wife of William of Crevonzone,Uxor Guillelmi de Cerevonzone [Gradunzone],,,,Roccetta,Roccettam,1,,,,Godfrey of Lesina ,Goffridus [Gosfridus] Alesine,,,,,,,,,
389,Hugh son of Rahel,Hugo filius Rahelis,,Loritello,Loritelli,casale of San Pietro Veterano,Casale Sancti Petri Veterani,1,,,,,,2,0,0,0,,,,,
390,Philip of Civitate,Philippus de Civitate,Count,,,Civitate,Civitate,10,,,,,,20,40,0,0,,,,,
390,Philip of Civitate,Philippus de Civitate,Count,,,Monterisi,Monte Orrisi,3,,,,,,,,,,,,,,
390,Philip of Civitate,Philippus de Civitate,Count,Foggia,Foggia,Monte Rotaro,Monte Rotaro,1,,,,,,,,,,,,,,
390,Philip of Civitate,Philippus de Civitate,Count,,,"Montilari, Montellare",Monte Ylari,3,,,,,,,,,,,,,,
390,Philip of Civitate,Philippus de Civitate,Count,Foggia,Foggia,Delicto,Liceto,3,,,,,,,,,,,,,,
391,Roger de Parisio,Rogerius de Parisio,,Foggia,Foggia,"Castelluccio de' Sclavis, Castelnuovo della Daunia",Castellucium,2,,,,Philip of Civitate,,4,4,0,0,,,,,
392,Roger of Aquila,Rogerius de Aquila,Count,Casaerta,Caserta,in the principality [of Aquila?] ,Calvi Risorta?,20,,,,King,domino Rege,45,100,0,0,,,,,
392,Roger of Aquila,Rogerius de Aquila,Count,Caserta,Caserta,Riardo,Riardo,1,,,,King,domino Rege,,,,,,,,,
392,Roger of Aquila,Rogerius de Aquila,Count,Avellino,Avellinum,Avellino,Avellino,16,,,,King,domino Rege,,,,,,,,,
392,Roger of Aquila,Rogerius de Aquila,Count,Avellino,Avellinum,Mercogliano,Merculiano,2,,,,King,domino Rege,,,,,,,,,
392,Roger of Aquila,Rogerius de Aquila,Count,Avellino,Avellinum,Capriglia,Caprilio,2,,,,King,domino Rege,,,,,,,,,
392,Roger of Aquila,Rogerius de Aquila,Count,Avellino,Avellinum,Sant'Angelo a Scala,Sancto Angelo,2,,,,King,domino Rege,,,,,,,,,
393,Boamund (Bohemond?) Malerba,Boamundus Malerba,,Avellino,Avellinum,Summonte,Sumontem,2,,,,Roger of Aquila,Rogerius de Aquila,4,10,0,0,,,,,
394,Robert de Tufo,Robbertus de Tufo,,Avellino,Avellinum,"Montefredane, Monte Fredani, Montefredano, Montefredaro",Montem Frederi,2,,,,Roger of Aquila,Rogerius de Aquila,4,10,0,0,,,,,
395,Roger of Fragneto,Rogerius de Farneto,,Avellino,Avellinum,Grottolella ,Gruptam,2,,,,Roger of Aquila,Rogerius de Aquila,4,10,0,0,,,,,
395,Roger of Fragneto,Rogerius de Farneto,,Avellino,Avellinum,Salza Irpina,Salsam,,,,,Roger of Aquila,Rogerius de Aquila,,,,,,,,,
396,Son of Guimund of Montellari,Fillius Guimundi de Montellari,,Foggia,Foggia,"Castelluccio Valmagiore, Castellucio",Castellucium,2,,,,King,domino Rege,4,0,0,0,,,,,
397,Raho of Rocca Troia,Raho de Rocca Troie,,Avellino,Avellinum,name ommitted,name ommitted,0.3,,,,King,domino Rege,1,0,0,0,,,,,
398,Armarus [possibly Armanus],Armarus,,Foggia,Foggia,name ommitted,name ommitted,0.5,,,,,,1,0,0,0,,,,,
399,Maynardus of Grano,Maynardus de Grano,,Foggia,Foggia,Prisurgio,Prisurgium,1,,,,King,domino Rege,2,3,0,0,,,,,
400,John of Boctio,Johannes de Boctio,,Foggia,Foggia,Castiglione,Castellione,,,20,,Abbey of Montecassino,,1,0,0,0,,,,,
401,Leo of Foggia,Leo de Foggia,,,,,,,,a few,,,,1,0,0,0,,,,,
402,The Bishop of Melfi,Episcopus Melfi,Bishop,Potenza,Potenza,Gaudiano,Gaudanium,4,,,,,,8,100,0,0,,,,,
403,Jordan son of James of Andria,Jordanus filius Jacob Andrie,,,,Pietrasicca,Petresicce,1,,,,,,2,0,0,0,,,,,
404,Landulf son of Peter Aguinardus,Landulfus filius Petri Aguinardi,,Foggia,Foggia,Sant' Agata,Sanct Agatha,2,,,,,,4,0,0,0,,,,,
405,Gualeramus,Gualeramus,,Foggia,Foggia,Sant' Agata,Sanct Agatha,1,,,,,,2,0,0,0,,,,,
406,Richard son of Brinus,Riccardus filius Brini,,Foggia,Foggia,Sant' Agata,Sanct Agatha,1,,,,,,2,0,0,0,,,,,
407,,,,Bovino,Bovino,,,,,,,,,,,,,,,,,
408,Abbot of the Holy trinity of Venosa,,,Ascoli,,Venosa,,,,,,,,30,230,0,0,,,,,
409,Corneto of Holy Trinity of Venosa,,,,,,,,,,,,,,,,,,,,,
410,Guerrarius of Montefusco,Guerrerius de Monte Fusculo,,Avellino,Avellinum,name ommitted,name ommitted,1,,,,King,domino Rege,6,0,0,0,,,,,
410,Guerrarius of Montefusco,Guerrerius de Monte Fusculo,,Avellino,Avellinum,Montefusco,Monte Fusculo,2,,,,,,,,,,,,,,
411,Herbert son of Milo Paganus,Herbertus filius Milonis Pagani,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,King,domino Rege,3,0,0,0,,,,,
411,Herbert son of Milo Paganus,Herbertus filius Milonis Pagani,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,,,,,,,,,411
412,"Raynerius son of Guimund and Brienus, his brother",Raynerius filius Guimundiet Brienus frater eius,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
413,Niel son of Pipinus,Niel filius Pipini,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
414,"Tancred of Molise and his wife, the daughter of Hugh the Brown (Amelina)(1)","Tancredus de Molisio cum filia Hugonis Bruni, sua uxor",,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,King ,domino Rege,12,0,0,0,,,,,
414,"Tancred of Molise and his wife, the daughter of Hugh the Brown (Amelina)(1)","Tancredus de Molisio cum filia Hugonis Bruni, sua uxor",,Avellino,Avellinum,Montefusco,Monte Fusculo,5,,,,,,,,,,,,,,
415,William son of Raoul,Guillelmus filius Raulis,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,King,domino Rege,4,0,0,0,,,,,
415,William son of Raoul,Guillelmus filius Raulis,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,,,,,,,,,
416,Constantine,Constantinus,,Avellino,Avellinum,Montefusco,Monte Fusculo,2,,,,,,4,0,0,0,,,,,
417,Robert son of Girard,Robbertus filius Girardi,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
418,Raho de Brae,Raho de Brae,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
419,Gibel ,Gibel,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
420,Guimund son of Paganus,Guimundus filius Pagani ,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
421,William son of Alexander Corbolinus,Guillelmus filius Alexandri Corbolini,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
422,Basuinus,Basuinus,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
423,Tancred of Cantalupo,Tancredus de Incantalupo,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,,,2,0,0,0,,,,,
424,Landulf son of Andrew,Landulfus filius Andree,,Avellino,Avellinum,Montefusco,Monte Fusculo,1,,,,Tancred of Cantalupo,Tancredus de Incantalupo,4,0,0,0,,,,,
424,Landulf son of Andrew,Landulfus filius Andree,,Avellino,Avellinum,Montefusco,Monte Fusculo,0,,,,King,domino Rege,,,,,,,,,
425,son of Helias of Montefusco,Filius Helye Montis Fusculi,,Avellino,Avellinum,Montefusco,Monte Fusculo,0,,10,,,,1,0,0,0,,,,,
426,the Court,Curia,,Benevento,Terra Beneventana,Pietramaggiore,Petra Maiori,2,,,,Hugi con of Fulcerii and SImon son of Roger,Hugo filius Fulcerii et Symon filius Rogerii,4,0,0,0,,,,,
427,Hugo son of Fulcerius,Hugo filius Fulcerii,,Benevento,Terra Beneventana,Pietramaggiore,Petra Maiori,,,15,,,,1,0,0,0,,,,,
427,Hugo son of Fulcerius,Hugo filius Fulcerii,,Benevento,Terra Beneventana,S. Andrea,Sancto Andrea,1,,,,,,2,0,0,0,,,,,
428,WIlliam of Funtana Rosa,Guillelmus de Funtana Rosa,,Benevento,Terra Beneventana,Paduli,Palude,1,,,,,,4,10,0,0,,,,,
428,WIlliam of Funtana Rosa,Guillelmus de Funtana Rosa,,Avellino,Avellinum,S. Arcngelo Trimont,Montem Malum,1,,,,,,,,,,,,,,
428,WIlliam of Funtana Rosa,Guillelmus de Funtana Rosa,,Benevento,Terra Beneventana,San Lupo,Sancto Lupulo,1,,,,,,,,,,,,,,
429,Hugo of Palude,Hugo de Palude,,Bonito,Bonito,Morrone,Murronis,1,,,,,,2,4,0,0,,,,,
430,Raho of Furrio Novo,Raho de Furrio Novo,,,,"Forno Nuovo, Furno Novo",Furrio Novo,1,,,,,,2,0,0,0,,,,,
431,Savarinus of Terra Rubea,Savarinus de Terra Rubea,,Benevento,Terra Beneventana,Paduli,Palude,1,,,,,,2,0,0,0,,,,,
432,Robert of Monte Malo,Robbertus de Monte Malo,,,,M. Leone,Montem Leonis,2,,,,,,2,10,,,,,,,
433,Richard of Balboa,Riccardus de Balboa,,,,Torre della Cisterna,Cisternam,6,,,,,,20,60,0,0,,,,,
433,Richard of Balboa,Riccardus de Balboa,,Foggia,Foggia,Rocchetta S. Antonio,de Rocca,0,,,,,,,,,,,,,,
433,Richard of Balboa,Riccardus de Balboa,,Avellino,Avellinum,Lacedonia,de Cedonia,5,,,,,,,,,,,,,,
433,Richard of Balboa,Riccardus de Balboa,,Avellino,Avellinum,Monteverde,Monte Viridi,4,,,,,,,,,,,,,,
433,Richard of Balboa,Riccardus de Balboa,,,,Armaterra,Armatera,2,,,,,,,,,,,,,,
433,Richard of Balboa,Riccardus de Balboa,,,,Vitalba,Vitalba,3,,,,,,,,,,,,,,
434,Samson of Barulo,Sanson de Barulo,,,,Mad(na) di Francavilla,Franchavillam,5,,,,,,7,30,,,,,,,
435,Richard of Genzano,Riccardus de Genzano,,,,Sansone,Sansone,1,,,,,,2,,,,,,,,
435,Richard of Genzano,Riccardus de Genzano,,,,,Sansonis,,,,,,,14,30,,,,,,,
436,Godfrey of Francavilla,Goffridus de Francavilla,,,,name ommitted,name ommitted,1,,,,,,1,,,,,,,,
437,William Son of Henry of S. Severino,Guillelmus filius Henrici de Sancto Severino,,Salerno,Salerno,Mercato San Severino,Sancto Severino,8,,,,King,domino Rege,14,0,0,80,,,,,
437,William Son of Henry of S. Severino,Guillelmus filius Henrici de Sancto Severino,,Salerno,Salerno,Rocca Cilento,Calento [corr. Cilento],6,,,,King,domino Rege,,,,,,,,,
438,William Son of Henry of S. Severino,Guillelmus filius Henrici de Sancto Severino,,Avellino,Avellinum,Montoro Superiore,Montorium,13,,,,King,domino Rege,13,0,0,0,,,,,
439,Florius [corr Roger] of Camerota,Florius [corr. Rogerius] de Cameroto,,,,Valle Corbella,Corbellam,2,,,,William Son of Henry of S. Severino,Guillelmus filius Henrici de Sancto Severino,4,0,0,0,,,,,
439,Florius [corr Roger] of Camerota,Florius [corr. Rogerius] de Cameroto,,,,name ommitted,name ommitted,1,,,,King,domino Rege,2,0,0,0,,,,,
440,William of Pistiglione,Guillelmus de Pistillone,,Salerno,Salerno,"Castellucio, Castel San Giorgio",Castelluczum,2,,,,William Son of Henry of S. Severino,Guillelmus filius Henrici de Sancto Severino,4,0,0,0,,,,,
441,Robert son of Trogisius de Cripta,Robbertus filius Trogisii de Cripta ,,Salerno,Salerno,Castel San Giorgio,Sanctum Giorgium ,2,,,,William Son of Henry of S. Severino,Guillelmus filius Henrici de Sancto Severino,4,0,0,0,,,,,
442,Lampus of Fasanella,Lampo de Fasanella,,Salerno,Salerno,"Corneto, Cornitum, Cornuti",Corneto,2,,,,,,10,0,0,0,,,,,
442,Lampus of Fasanella,Lampo de Fasanella,,Salerno,Salerno,Trentinara,Trentenaria,1,,,,,,,,,,,,,,
442,Lampus of Fasanella,Lampo de Fasanella,,Salerno,Salerno,Magliano Vetere,Malano,1,,,,,,,,,,,,,,
442,Lampus of Fasanella,Lampo de Fasanella,,Salerno,Salerno,"Selefone, Silifone",Selefone,1,,,,,,,,,,,,,,
443,Guido of Trentinara,Guido de Trentenaria,,Salerno,Salerno,Trentinara,Trentenaria,1,,,,Lampus of Fasanella,Lampo de Fasanella,2,0,0,0,,,,,
444,Ascittinus of Sicignano,Ascittinus de Siciniano,,Salerno,Salerno,Sicignano,Siciniano,1,,,,Lampus of Fasanella,Lampo de Fasanella,2,30,0,0,,,,,
444,Ascittinus of Sicignano,Ascittinus de Siciniano,,,,,,7,,,,King,domino Rege,12,,,,,,,,
445,The Court,Curia,,Napoli,Napoli,Gragnano,Granianum,1,,,,,,2,0,0,50,,,,,
446,James Guarna,Jacob Guarna,,Napoli,Napoli,"Castellione, Castellammare di Stabia","Castellionem [corr. Castellion, Castellma]",2,,,,,,5,100,0,0,,,,,
447,Landulf de Manso,Landulfus de Manso,,Napoli,Napoli,Lettere,Letterem,2,,,,,,4,0,0,0,,,,,
448,Guaymar of Rotunda,Guaymarius de Rotunda,,Salerno,Salerno,Castello La Rotonda,Rotunda,3,,,,,,6,15,,,,,,,
448,Guaymar of Rotunda,Guaymarius de Rotunda,,Potenza,Potenza,Vietri di Potenza,Veteri,1.5,,,,,,3,15,,,,,,,
449,Guido of Acerno,Guido de Acerno,,Salerno,Salerno,Giffoni Sei Casali,Gifono,3,,,,,,6,15,,,,,,,
